Month_Name,Drop_Prob,Avg_Return,SIP_Score
February,0.5545454545454546,-0.0007820048032160768,1.15228814041028
March,0.4663677130044843,6.022261722840457e-05,1.1166303226065732
May,0.4892703862660944,0.000753398490197043,1.0224325014080589
April,0.42028985507246375,0.0012176717806291937,0.9986295099018193
June,0.4698275862068966,0.0007365146335544359,0.9459977348910894
September,0.5,-0.00017368823833651057,0.9392515684775137
October,0.4618834080717489,0.0005792513600030427,0.8956205169686297
December,0.45739910313901344,0.0006786498811373423,0.8675294446206457
January,0.461864406779661,0.00013745044620703913,0.7871887724053709
November,0.4369369369369369,0.0008391769970943241,0.7608069589800808
August,0.42358078602620086,0.0003046029006169139,0.7456568558035557
July,0.42916666666666664,0.0012770563194800045,0.6811826364536505
